producto=PRODUCT;
Valor energético  (kJ)=Energy value (kJ);
Valor energético  (Kcal)=Energy value (Kcal);
Grasas (g)=Fat (g);
de las cuales:=of which:;
Saturadas  (g):=Saturates (g):;
Hidratos de carbono:=Carbohydrates (g):;
de los cuales:=of which:;
Azúcares (g):=Sugars (g):;
Proteinas (g):=Proteins (g):;
Sal (g): =Salt (g):;
Ingredientes=Ingredients;
Alérgenos=Allergens;
Seleccione un sabor=Select a flavor;
Continuar=Continue;
Volver=Return;
