producto=MS010;
Valor energético  (kJ)100=1444;
Valor energético  (kJ)32=462;
Valor energético  (Kcal)100=341;
Valor energético  (Kcal)32=109;
Grasas (g)100=4,6;
Grasas (g)32=1,5;
Saturadas  (g)100:=0,6;
Saturadas  (g)32:=0,2;
Hidratos de carbono:100=65,7;
Hidratos de carbono:32=21,0;
Azúcares (g):100=0,6;
Azúcares (g):32=0,2;
Proteinas (g)100:=9,2;
Proteinas (g)32:=2,9;
Sal (g):100 =2,1;
Sal (g):32 =0,7;
